time,dT,flow_hx_bot,flow_hx_top,max_flow_T,max_v,min_flow_T,total_fission_source,total_power,lambda
0,0,0,0,0,0,0,0,0,0
0.001,-9.7298698165105e-06,-0.0011787430948559,0.0011787430948559,1.0292195394348,0.00074867557971255,-1.0292195509038,62.241506101286,3051908390.4956,-9.7246146412785e-17
0.003,-2.9086386462041e-05,-0.0035327094971162,0.0035327094971162,3.0845853528049,0.0022494139222196,-3.0845854555587,62.241506101286,3051908390.4956,-2.798409541847e-16
0.007,-6.7383765326667e-05,-0.0082413469578656,0.0082413469578656,7.1959323978152,0.0052491903241939,-7.1959329531482,62.241506101286,3051908390.4956,4.1728495310571e-16
0.015,-0.00014233552803944,-0.017664415836737,0.017664415836737,15.423686072893,0.011239622512017,-15.423688587167,62.241506101286,3051908390.4956,3.1608745827827e-15
0.031,-0.00028583809967131,-0.036533176422376,0.036533176422376,31.898948913294,0.023156317552135,-31.898959355868,62.241506101286,3051908390.4956,7.5386166958729e-15
0.063,-0.00054852617211054,-0.074350988006398,0.074350988006398,64.91958966419,0.046565543136165,-64.919630447653,62.241506101286,3051908390.4956,1.5096337184729e-14
0.127,-0.00098542562625425,-0.15028040306282,0.15028040306282,131.21743372714,0.091489293992537,-131.2175818173,62.241506101286,3051908390.4956,4.7481900193876e-14
0.255,-0.0015557493351253,-0.30319270575083,0.30319270575213,264.73311604614,0.17943789942445,-264.73358773912,62.241506101286,3051908390.4956,1.3955704057326e-09
0.511,-0.0017416216099946,-0.61180458895027,0.61180458895045,534.19884151823,0.3527705101334,-534.19990705048,62.241506101286,3051908390.4956,1.9559686611994e-10
1.023,0.0026584620280801,-1.2263088236942,1.2263088236942,1070.7616624725,0.67096174593041,-1070.7584023771,62.241506101286,3051908390.4956,-6.50563304546e-14
2.047,5.0398549042461,-2.3012966834086,2.3012966834086,2021.1489291248,1.1682175455075,-2009.5507277488,62.241506101286,3051908390.4956,9.9486714499686e-13
4.095,57.987553383052,-3.4836095683839,3.4836095683839,3264.799190458,1.6406929233173,-3062.7931946457,62.241506101286,3051908390.4956,1.5085733560899e-12
8.191,93.928277527341,-4.1897636155361,4.1897636155361,4142.8743993839,1.9139436834386,-3749.3371197298,62.241506101286,3051908390.4956,3.3941896164764e-13
16.383,97.187690231121,-4.4355873993634,4.4355873993634,4434.2740466543,2.0042924155192,-4003.1895524919,62.241506101286,3051908390.4956,8.8433399944594e-13
32.767,98.738820716873,-4.4842370377972,4.4842370377972,4498.4949765081,2.0197198000729,-4055.726699581,62.241506101286,3051908390.4956,2.4149747669308e-12
65.535,99.33200582664,-4.4892073957267,4.4892073957267,4507.7045855308,2.0228088095343,-4061.7826103415,62.241506101286,3051908390.4956,1.6392477893964e-12
131.071,99.407881389541,-4.4894417502153,4.4894417502153,4508.4395999212,2.0230198646747,-4062.1537069106,62.241506101286,3051908390.4956,-1.9786152819992e-12
262.143,99.412184867378,-4.4894500699233,4.4894500699233,4508.4757895989,2.0230284767607,-4062.1697492948,62.241506101286,3051908390.4956,-5.9799358824882e-13
524.287,99.412243770373,-4.4894530255867,4.4894530255867,4508.4793338007,2.0230297398481,-4062.1727352255,62.241506101286,3051908390.4956,-1.5809024794656e-13
